Utility name,Testing Description,City,State,People Served,Utility Name URL,Exceed Contaminant Count,Total Contaminants,Contaminants,Data Available,Source
Alabaster Water Board,EWG's drinking water quality report shows results of tests conducted by the water utility and provided to the Environmental Working Group by the Alabama Department of Environmental Management%2C as well as information from the U.S. EPA Enforcement and Compliance History database (ECHO). For the latest quarter assessed by the U.S. EPA (January 2019 - March 2019)%2C tap water provided by this water utility was in compliance with federal health-based drinking water standards.,Alabaster, Alabama,38361,https://www.ewg.org/tapwater/system.php?pws=AL0001148,3,12 ,Chromium (hexavalent);Nitrate;Total trihalomethanes (TTHMs);1%2C4-Dioxane;Barium;Bromodichloromethane;Chlorate;Chloroform;Haloacetic acids (HAA5);Molybdenum;Strontium;Vanadium,2012-2017,Purchased groundwater under influence of surface water
Albertville Utilities Board,EWG's drinking water quality report shows results of tests conducted by the water utility and provided to the Environmental Working Group by the Alabama Department of Environmental Management%2C as well as information from the U.S. EPA Enforcement and Compliance History database (ECHO). For the latest quarter assessed by the U.S. EPA (January 2019 - March 2019)%2C tap water provided by this water utility was in compliance with federal health-based drinking water standards.,Albertville, Alabama,29991,https://www.ewg.org/tapwater/system.php?pws=AL0000933,8,17 ,Bromodichloromethane;Chloroform;Dibromochloromethane;Nitrate;Nitrate and nitrite;Perfluoroheptanoic acid (PFHPA);Perfluorooctanoic acid (PFOA);Total trihalomethanes (TTHMs);1%2C4-Dioxane;Barium;Chlorate;Chromium (hexavalent);Fluoride;Haloacetic acids (HAA5);Molybdenum;Strontium;Vanadium,2012-2017,Surface water
Alexander City Water Department,EWG's drinking water quality report shows results of tests conducted by the water utility and provided to the Environmental Working Group by the Alabama Department of Environmental Management%2C as well as information from the U.S. EPA Enforcement and Compliance History database (ECHO). For the latest quarter assessed by the U.S. EPA (January 2019 - March 2019)%2C tap water provided by this water utility was in compliance with federal health-based drinking water standards.,Alexander City, Alabama,27000,https://www.ewg.org/tapwater/system.php?pws=AL0001265,9,14 ,Bromodichloromethane;Chlorate;Chlorite;Chloroform;Chromium (hexavalent);Dibromochloromethane;Nitrate;Nitrate and nitrite;Total trihalomethanes (TTHMs);Fluoride;Haloacetic acids (HAA5);Manganese;Strontium;Vanadium,2012-2017,Surface water
Anniston Water and Sewer Board,EWG's drinking water quality report shows results of tests conducted by the water utility and provided to the Environmental Working Group by the Alabama Department of Environmental Management%2C as well as information from the U.S. EPA Enforcement and Compliance History database (ECHO). For the latest quarter assessed by the U.S. EPA (January 2019 - March 2019)%2C tap water provided by this water utility was in compliance with federal health-based drinking water standards.,Anniston, Alabama,56700,https://www.ewg.org/tapwater/system.php?pws=AL0000133,5,12 ,Bromodichloromethane;Chloroform;Chromium (hexavalent);Manganese;Total trihalomethanes (TTHMs);Aluminum;Barium;Chromium (total);Fluoride;Haloacetic acids (HAA5);Strontium;Vanadium,2012-2017,Surface water
Arab Water Works Board,EWG's drinking water quality report shows results of tests conducted by the water utility and provided to the Environmental Working Group by the Alabama Department of Environmental Management%2C as well as information from the U.S. EPA Enforcement and Compliance History database (ECHO). For the latest quarter assessed by the U.S. EPA (January 2019 - March 2019)%2C tap water provided by this water utility was in compliance with federal health-based drinking water standards.,Arab, Alabama,34800,https://www.ewg.org/tapwater/system.php?pws=AL0000934,8,16 ,Bromodichloromethane;Chloroform;Chromium (hexavalent);Dibromochloromethane;Nitrate;Nitrate and nitrite;Radium%2C combined (-226 & -228);Total trihalomethanes (TTHMs);1%2C4-Dioxane;Aluminum;Chlorate;Chromium (total);Fluoride;Haloacetic acids (HAA5);Strontium;Vanadium,2012-2017,Surface water
Athens Utilities,EWG's drinking water quality report shows results of tests conducted by the water utility and provided to the Environmental Working Group by the Alabama Department of Environmental Management%2C as well as information from the U.S. EPA Enforcement and Compliance History database (ECHO). For the latest quarter assessed by the U.S. EPA (January 2019 - March 2019)%2C tap water provided by this water utility was in compliance with federal health-based drinking water standards.,Athens, Alabama,27534,https://www.ewg.org/tapwater/system.php?pws=AL0000824,8,14 ,Atrazine;Bromodichloromethane;Chloroform;Chromium (hexavalent);Dibromochloromethane;Nitrate;Nitrate and nitrite;Total trihalomethanes (TTHMs);Aluminum;Fluoride;Haloacetic acids (HAA5);Manganese;Strontium;Vanadium,2012-2017,Surface water
Auburn Water Works,EWG's drinking water quality report shows results of tests conducted by the water utility and provided to the Environmental Working Group by the Alabama Department of Environmental Management%2C as well as information from the U.S. EPA Enforcement and Compliance History database (ECHO). For the latest quarter assessed by the U.S. EPA (January 2019 - March 2019)%2C tap water provided by this water utility was in compliance with federal health-based drinking water standards.,Auburn, Alabama,60003,https://www.ewg.org/tapwater/system.php?pws=AL0000804,6,16 ,Arsenic;Bromodichloromethane;Chloroform;Chromium (hexavalent);Radium%2C combined (-226 & -228);Total trihalomethanes (TTHMs);Barium;Chlorate;Dibromochloromethane;Fluoride;Haloacetic acids (HAA5);Manganese;Nitrate;Selenium;Strontium;Vanadium,2012-2017,Surface water
Bessemer Water Service,EWG's drinking water quality report shows results of tests conducted by the water utility and provided to the Environmental Working Group by the Alabama Department of Environmental Management%2C as well as information from the U.S. EPA Enforcement and Compliance History database (ECHO). For the latest quarter assessed by the U.S. EPA (January 2019 - March 2019)%2C tap water provided by this water utility was in compliance with federal health-based drinking water standards.,Bessemer, Alabama,81759,https://www.ewg.org/tapwater/system.php?pws=AL0000737,8,16 ,Bromodichloromethane*;Chlorite*;Chloroform*;Chromium (hexavalent);Dibromochloromethane*;Nitrate*;Nitrate and nitrite*;Total trihalomethanes (TTHMs);1%2C4-Dioxane;Chlorate;Chromium (total);Haloacetic acids (HAA5);Molybdenum;Radium%2C combined (-226 & -228)*;Strontium;Vanadium,2012-2017,Purchased surface water
Birmingham Water Works Board,EWG's drinking water quality report shows results of tests conducted by the water utility and provided to the Environmental Working Group by the Alabama Department of Environmental Management%2C as well as information from the U.S. EPA Enforcement and Compliance History database (ECHO). For the latest quarter assessed by the U.S. EPA (January 2019 - March 2019)%2C tap water provided by this water utility was in compliance with federal health-based drinking water standards.,Birmingham, Alabama,591243,https://www.ewg.org/tapwater/system.php?pws=AL0000738,8,19 ,Bromodichloromethane;Chloroform;Chromium (hexavalent);Dibromochloromethane;Nitrate;Nitrate and nitrite;Radium%2C combined (-226 & -228);Total trihalomethanes (TTHMs);1%2C4-Dioxane;Aluminum;Barium;Chlorate;Chloromethane;Fluoride;Haloacetic acids (HAA5);Manganese;Molybdenum;Strontium;Vanadium,2012-2017,Surface water
Blount County Water,EWG's drinking water quality report shows results of tests conducted by the water utility and provided to the Environmental Working Group by the Alabama Department of Environmental Management%2C as well as information from the U.S. EPA Enforcement and Compliance History database (ECHO). For the latest quarter assessed by the U.S. EPA (January 2019 - March 2019)%2C tap water provided by this water utility was in compliance with federal health-based drinking water standards.,Cleveland, Alabama,17139,https://www.ewg.org/tapwater/system.php?pws=AL0001783,7,13 ,Bromodichloromethane;Chloroform;Chromium (hexavalent);Dibromochloromethane;Nitrate;Nitrate and nitrite;Total trihalomethanes (TTHMs);Barium;Chlorate;Chromium (total);Haloacetic acids (HAA5);Strontium;Vanadium,2012-2017,Surface water
Boaz Water and Sewer Board,EWG's drinking water quality report shows results of tests conducted by the water utility and provided to the Environmental Working Group by the Alabama Department of Environmental Management%2C as well as information from the U.S. EPA Enforcement and Compliance History database (ECHO). For the latest quarter assessed by the U.S. EPA (January 2019 - March 2019)%2C tap water provided by this water utility was in compliance with federal health-based drinking water standards.,Boaz, Alabama,29196,https://www.ewg.org/tapwater/system.php?pws=AL0000936,8,17 ,Bromodichloromethane*;Chloroform*;Dibromochloromethane*;Nitrate*;Nitrate and nitrite*;Perfluoroheptanoic acid (PFHPA);Perfluorooctanoic acid (PFOA);Total trihalomethanes (TTHMs);1%2C4-Dioxane;Barium*;Chlorate;Chromium (hexavalent);Fluoride*;Haloacetic acids (HAA5);Molybdenum*;Strontium;Vanadium,2012-2017,Purchased surface water
Butler County Water Authority,EWG's drinking water quality report shows results of tests conducted by the water utility and provided to the Environmental Working Group by the Alabama Department of Environmental Management%2C as well as information from the U.S. EPA Enforcement and Compliance History database (ECHO). For the latest quarter assessed by the U.S. EPA (January 2019 - March 2019)%2C tap water provided by this water utility was in compliance with federal health-based drinking water standards.,Greenville, Alabama,13395,https://www.ewg.org/tapwater/system.php?pws=AL0001507,4,8 ,Bromodichloromethane;Bromoform;Dibromochloromethane;Total trihalomethanes (TTHMs);Chromium (hexavalent);Haloacetic acids (HAA5);Nitrate;Strontium,2012-2017,Groundwater
Calera Water Works,EWG's drinking water quality report shows results of tests conducted by the water utility and provided to the Environmental Working Group by the Alabama Department of Environmental Management%2C as well as information from the U.S. EPA Enforcement and Compliance History database (ECHO). For the latest quarter assessed by the U.S. EPA (January 2019 - March 2019)%2C tap water provided by this water utility was in compliance with federal health-based drinking water standards.,Calera, Alabama,21600,https://www.ewg.org/tapwater/system.php?pws=AL0001150,7,11 ,Bromodichloromethane;Chloroform;Chromium (hexavalent);Dibromochloromethane;Nitrate;Radium%2C combined (-226 & -228);Total trihalomethanes (TTHMs);1%2C4-Dioxane;Haloacetic acids (HAA5);Strontium;Vanadium,2012-2017,Surface water
Calhoun County Water and Fire Protection Authority,EWG's drinking water quality report shows results of tests conducted by the water utility and provided to the Environmental Working Group by the Alabama Department of Environmental Management%2C as well as information from the U.S. EPA Enforcement and Compliance History database (ECHO). For the latest quarter assessed by the U.S. EPA (January 2019 - March 2019)%2C tap water provided by this water utility was in compliance with federal health-based drinking water standards.,Alexandria, Alabama,30810,https://www.ewg.org/tapwater/system.php?pws=AL0000131,3,10 ,Chromium (hexavalent);Nitrate;Total trihalomethanes (TTHMs);Barium;Chlorate;Chloroform;Chromium (total);Haloacetic acids (HAA5);Strontium;Vanadium,2012-2017,Groundwater
Carrolls Creek Water Authority,EWG's drinking water quality report shows results of tests conducted by the water utility and provided to the Environmental Working Group by the Alabama Department of Environmental Management%2C as well as information from the U.S. EPA Enforcement and Compliance History database (ECHO). For the latest quarter assessed by the U.S. EPA (January 2019 - March 2019)%2C tap water provided by this water utility was in compliance with federal health-based drinking water standards.,Northport, Alabama,13443,https://www.ewg.org/tapwater/system.php?pws=AL0001540,8,16 ,Bromodichloromethane*;Chlorate;Chlorite*;Chloroform*;Chromium (hexavalent);Dibromochloromethane*;Radium%2C combined (-226 & -228)*;Total trihalomethanes (TTHMs);4-Androstene-3%2C17-dione*;Aluminum*;Fluoride*;Haloacetic acids (HAA5);Manganese*;Nitrate*;Nitrate and nitrite*;Strontium,2012-2017,Purchased surface water
Central Elmore Water Authority,EWG's drinking water quality report shows results of tests conducted by the water utility and provided to the Environmental Working Group by the Alabama Department of Environmental Management%2C as well as information from the U.S. EPA Enforcement and Compliance History database (ECHO). For the latest quarter assessed by the U.S. EPA (January 2019 - March 2019)%2C tap water provided by this water utility was in compliance with federal health-based drinking water standards.,Wetumpka, Alabama,32877,https://www.ewg.org/tapwater/system.php?pws=AL0000547,4,15 ,Arsenic;Bromodichloromethane;Chloroform;Total trihalomethanes (TTHMs);Antimony;Barium;Chlorate;Chromium (hexavalent);Dibromochloromethane;Fluoride;Haloacetic acids (HAA5);Manganese;Nitrate;Nitrate and nitrite;Strontium,2012-2017,Surface water
